Best case,,time/n,Average,,Worst case,,time/n^2,time/n,Average n^2,Random case,,time/n,Average
9,1958833,4.59457E-06,,,42,3621,3.20326E-06,0.011599006,,135,9625,0.014025974,
40,9926103,4.02978E-06,,,23,2820,2.89221E-06,0.008156028,,1,1254,0.000797448,
40,9526455,4.19883E-06,,,145,6881,3.06242E-06,0.021072519,,97,8062,0.012031754,
28,6957080,4.02468E-06,,,214,8467,2.98507E-06,0.025274595,,61,6475,0.009420849,
9,1847143,4.87239E-06,,,38,3597,2.93699E-06,0.010564359,,82,5075,0.016157635,
28,6739413,4.15466E-06,,,3,1099,2.48385E-06,0.002729754,,138,9644,0.014309415,
30,7321136,4.09772E-06,,,4,1114,3.22322E-06,0.003590664,,105,8468,0.012399622,
31,7246673,4.27783E-06,,,256,9501,2.83597E-06,0.026944532,,137,9630,0.014226376,
35,8077194,4.33319E-06,,,8,1523,3.44898E-06,0.005252791,,18,3458,0.005205321,
13,3103407,4.18894E-06,,,181,8002,2.82671E-06,0.022619345,,2,1109,0.001803427,
10,2588828,3.86275E-06,,,15,2316,2.7965E-06,0.006476684,,34,4622,0.007356123,
34,8116457,4.18902E-06,,,32,3257,3.01658E-06,0.009824992,,16,3402,0.004703116,
30,7048102,4.25647E-06,,,225,8935,2.81834E-06,0.025181869,,130,9424,0.013794567,
34,8390259,4.05232E-06,,,27,2994,3.01204E-06,0.009018036,,98,7988,0.012268403,
39,9430502,4.13552E-06,,,2,1072,1.74037E-06,0.001865672,,12,2848,0.004213483,
8,2208481,3.6224E-06,,,2,1019,1.92611E-06,0.001962709,,98,7987,0.012269939,
40,9658762,4.14132E-06,,,75,5095,2.88917E-06,0.014720314,,130,9288,0.013996555,
5,1220480,4.09675E-06,,,185,8004,2.88774E-06,0.023113443,,109,8581,0.012702482,
6,1478489,4.0582E-06,,,64,4734,2.85577E-06,0.013519223,,2,1392,0.001436782,
40,9689150,4.12833E-06,,,5,1236,3.2729E-06,0.004045307,,61,6408,0.009519351,
29,6766804,4.28563E-06,,,6,1408,3.02654E-06,0.004261364,,107,8510,0.012573443,
10,2286041,4.37437E-06,,,128,6704,2.84801E-06,0.019093079,,20,3764,0.005313496,
23,5695364,4.03837E-06,,,98,5853,2.86068E-06,0.01674355,,19,3501,0.005427021,
30,6950360,4.31632E-06,,,104,6029,2.86116E-06,0.017249959,,5,2002,0.002497502,
33,7915352,4.16911E-06,,,242,9183,2.86976E-06,0.026353044,,43,5463,0.007871133,
32,7841038,4.08109E-06,,,5,1341,2.78043E-06,0.003728561,,9,2330,0.003862661,
34,8193803,4.14948E-06,,,142,7026,2.87655E-06,0.020210646,,96,8104,0.011846002,
10,2227115,4.49011E-06,,,289,9941,2.92441E-06,0.029071522,,76,7240,0.010497238,
18,4443566,4.0508E-06,,,230,8747,3.00614E-06,0.02629473,,53,5940,0.008922559,
26,5992754,4.33857E-06,,,250,9068,3.0403E-06,0.027569475,,38,5070,0.007495069,
21,5104071,4.11436E-06,,,58,4197,3.29268E-06,0.013819395,,49,5862,0.008358922,
22,5132113,4.28673E-06,,,129,6683,2.88833E-06,0.019302708,,106,8473,0.012510327,
6,1363581,4.40018E-06,,,211,8600,2.85289E-06,0.024534884,,5,1882,0.002656748,
26,6419122,4.0504E-06,,,15,2230,3.01635E-06,0.006726457,,36,4783,0.007526657,
24,5797998,4.13936E-06,,,17,2390,2.97614E-06,0.007112971,,61,6461,0.009441263,
30,7241630,4.14271E-06,,,190,8045,2.93563E-06,0.023617154,,121,9133,0.013248659,
33,7934276,4.15917E-06,,,214,8677,2.84233E-06,0.024662902,,10,2565,0.003898635,
17,4163011,4.08358E-06,,,128,6614,2.92605E-06,0.019352888,,7,1826,0.003833516,
16,3841791,4.16472E-06,,,47,4055,2.85835E-06,0.011590629,,44,5592,0.007868383,
37,9032052,4.09652E-06,,,15,2056,3.5485E-06,0.00729572,,16,3372,0.004744958,
40,9691440,4.12735E-06,,,106,6069,2.87787E-06,0.01746581,,79,7308,0.010810071,
27,6709412,4.0242E-06,,,78,5223,2.85927E-06,0.014933946,,37,4808,0.007695507,
37,8894763,4.15975E-06,,,8,1675,2.85141E-06,0.004776119,,50,5803,0.008616233,
37,8662674,4.2712E-06,,,282,9965,2.83984E-06,0.028299047,,142,9860,0.014401623,
24,5804235,4.13491E-06,,,123,6511,2.90141E-06,0.018891107,,15,3085,0.004862237,
23,5638534,4.07907E-06,,,67,4747,2.97328E-06,0.014114177,,8,2248,0.003558719,
39,9397001,4.15026E-06,,,192,8093,2.93145E-06,0.023724206,,34,4700,0.007234043,
30,7327958,4.09391E-06,,,124,6563,2.87884E-06,0.018893799,,5,1732,0.002886836,
20,5019451,3.9845E-06,,,96,5750,2.90359E-06,0.016695652,,69,6940,0.009942363,
23,5765972,3.98892E-06,,,124,6549,2.89116E-06,0.018934188,,7,2180,0.003211009,
14,3296284,4.24721E-06,,,139,6998,2.83836E-06,0.019862818,,83,7578,0.010952758,
